time ms,free,max,total
817344,44633400,954466304,50200576
818344,47650688,954466304,50331648
819355,51057112,954466304,55181312
820355,58582696,954466304,64815104
821358,59925392,954466304,70844416
822358,55367280,954466304,67960832
823358,46980488,954466304,64946176
824358,57706752,954466304,61800448
825358,51557928,954466304,59244544
826358,44532792,954466304,57606144
827358,54490000,954466304,57540608
828359,51736040,954466304,64749568
829360,56255584,954466304,61669376
830360,53094576,954466304,58916864
831361,45920696,954466304,56492032
832361,46635704,954466304,54263808
833361,50372704,954466304,52494336
834361,50139216,954466304,51314688
835361,45019416,954466304,52625408
836369,46197448,954466304,51445760
837369,46230944,954466304,51183616
838369,44505296,954466304,50987008
839369,45116752,954466304,52297728
840369,46423768,954466304,52494336
841369,44662624,954466304,51183616
842369,45817200,954466304,50200576
843369,48338520,954466304,51314688
844369,50303536,954466304,54394880
845370,50492888,954466304,52625408
846370,44755416,954466304,51445760
847370,44956136,954466304,50200576
848370,45560000,954466304,50266112
849370,45600360,954466304,50200576
850370,50119464,954466304,52363264
851370,46014160,954466304,51052544
852370,45899768,954466304,52428800
853370,44728024,954466304,51249152
854370,46389912,954466304,51052544
855370,47216328,954466304,50200576
856370,46138928,954466304,52559872
857370,46613864,954466304,52625408
858370,48034848,954466304,51445760
859370,48185096,954466304,50200576
860370,51682352,954466304,53608448
861370,43917432,954466304,52166656
862370,57974560,954466304,59310080
863371,50550560,954466304,69074944
864371,49591208,954466304,65470464
865371,46865080,954466304,62062592
866371,52010968,954466304,58982400
867371,55019000,954466304,56295424
868371,44910120,954466304,54329344
869371,46092912,954466304,52559872
870371,46175544,954466304,51380224
871371,49720224,954466304,52625408
872371,49618176,954466304,51314688
873371,49506936,954466304,51052544
874371,49078928,954466304,50200576
875371,49816800,954466304,50987008
876371,44588720,954466304,52428800
877371,48201056,954466304,51118080
878371,48897664,954466304,55967744
879371,44015056,954466304,54001664
880372,47060192,954466304,52297728
881372,48115816,954466304,50987008
882372,47836968,954466304,58392576
883372,46935672,954466304,55967744
884372,51205704,954466304,53870592
885372,45481368,954466304,52363264
886372,45062368,954466304,52559872
887372,49938864,954466304,56623104
888372,49813832,954466304,54525952
889372,44149760,954466304,52822016
890372,49243720,954466304,51642368
891372,49484984,954466304,52953088
892372,54288616,954466304,55771136
893372,46570496,954466304,54001664
894372,50316296,954466304,52428800
895372,45697584,954466304,51249152
896372,48765072,954466304,57212928
897372,54512832,954466304,57016320
898373,53146752,954466304,54788096
899373,53511632,954466304,54722560
900373,61271856,954466304,63045632
901373,58152128,954466304,63700992
902374,44617408,954466304,66322432
903374,62037760,954466304,67043328
904374,55580136,954466304,63832064
905374,57849544,954466304,60817408
906374,45240296,954466304,58654720
907374,46784152,954466304,56426496
908374,46642408,954466304,54394880
909374,46021936,954466304,52690944
910374,52748400,954466304,54329344
911374,44458400,954466304,52690944
912374,44499336,954466304,51511296
913374,54299784,954466304,59834368
914374,52010848,954466304,65339392
915375,49261336,954466304,61997056
916375,55904320,954466304,58916864
917375,50335320,954466304,56492032
918375,45558192,954466304,54460416
919375,50184864,954466304,52625408
920375,47378712,954466304,51445760
